exercicio,caso,n,tempo_ns
8,p,420000,1250.0
8,m,430000,480.0
8,p,430000,1160.0
8,m,440000,500.0
8,p,440000,1260.0
8,m,450000,570.0
8,p,450000,1290.0
8,m,460000,470.0
8,p,460000,1240.0
8,m,470000,550.0
8,p,470000,1130.0
8,m,480000,540.0
8,p,480000,1180.0
8,m,490000,540.0
8,p,490000,1230.0
8,m,500000,540.0
8,p,500000,1180.0
